from,to,weight,type
s1349,s34,8,
s2479,s1709,16,
s2434,s340,6,
s1276,s1021,5,
s929,s3978,6,
s2398,s985,11,
s3012,s102,6,
s1589,s3036,2,
s3851,s1208,8,
s1674,s2383,8,
s1398,s1457,3,
s3693,s340,5,
s2446,s394,16,
s2645,s517,0,
s2263,s2378,10,
s2974,s3227,16,
s801,s3846,1,
s198,s2663,11,
s3676,s760,0,
s1512,s3697,2,
s1762,s94,0,
s94,s3282,15,
s829,s1680,4,
s3327,s503,6,
s1751,s3701,10,
s1481,s2485,12,
s2308,s1831,15,
s2060,s3674,13,
s1642,s361,6,
s1501,s140,3,
s763,s1770,13,
s3730,s1470,7,
s3080,s1778,15,
s457,s353,14,
s3609,s3057,16,
s3033,s3824,16,
s1661,s2639,15,
s3596,s681,7,
s3025,s697,1,
s912,s1684,4,
s1366,s1640,4,
s2414,s2911,13,
s799,s3545,13,
s2740,s1872,12,
s124,s1078,2,
s2452,s2280,6,
s2616,s788,1,
s661,s1180,15,
s3633,s1000,9,
s2036,s3308,14,
s1077,s1716,4,
s3424,s1967,16,
s529,s648,1,
s3120,s149,9,
s67,s3967,8,
s192,s1935,0,
s239,s1730,4,
s3623,s398,13,
s2162,s779,6,
s3526,s1948,15,
s3923,s2380,8,
s718,s1345,11,
s1793,s3605,7,
s1553,s321,11,
s852,s2409,12,
s1925,s726,6,
s11,s1431,14,
s1647,s3296,9,
s1086,s401,5,
s3501,s2221,16,
s2264,s608,2,
s1481,s3938,0,
s75,s84,13,
s2815,s768,12,
s522,s613,8,
s1542,s3360,0,
s3134,s2244,1,
s3808,s2431,16,
s1258,s2652,12,
s718,s1209,11,
s873,s1752,15,
s1753,s3311,14,
s1046,s3664,12,
s3479,s888,14,
s228,s3637,1,
s3178,s361,9,
s3186,s2616,15,
s3877,s201,12,
s2415,s687,5,
s1894,s1236,7,
s3024,s2986,15,
s2899,s3936,11,
s1613,s1494,8,
s1793,s2056,5,
s2278,s821,5,
s2679,s2702,5,
s391,s3381,4,
s2189,s1607,10,
s2803,s2964,0,
s74,s3466,13,
s65,s1852,5,
s1389,s737,16,
s2645,s645,6,
s2893,s3488,0,
s1348,s2502,0,
s1288,s3083,4,
s1010,s2561,0,
s1424,s3808,15,
s1425,s2749,10,
s38,s772,5,
s3977,s814,5,
s2164,s3597,16,
s165,s386,2,
s1856,s2797,15,
s1564,s3895,4,
s3161,s393,7,
s278,s1073,13,
s1881,s2539,1,
s1029,s1445,9,
s699,s3234,12,
s3441,s1449,7,
s2515,s1988,8,
s634,s3567,4,
s957,s899,5,
s599,s1874,10,
s964,s3995,5,
s454,s3860,15,
s3312,s1601,9,
s923,s544,8,
s1615,s785,8,
s3918,s913,14,
s1174,s360,3,
s1122,s1372,9,
s1942,s2369,6,
s1188,s2421,3,
s3399,s2090,6,
s2366,s3723,10,
s1173,s3902,16,
s84,s282,0,
s2621,s3180,12,
s496,s1583,7,
s1586,s532,16,
s1873,s758,8,
s2196,s1909,13,
s2305,s2833,0,
s3543,s1153,13,
s2339,s3734,0,
s3410,s188,2,
s900,s2376,16,
s617,s728,1,
s1400,s915,3,
s2957,s1877,0,
s2482,s28,12,
s2651,s1785,14,
s2060,s3719,7,
s1137,s2016,1,
s3467,s3052,10,
s1539,s2775,16,
s1501,s2976,11,
s1257,s3702,0,
s2253,s23,16,
s2806,s2351,0,
s3512,s252,13,
s350,s1400,13,
s1883,s1118,5,
s407,s2696,13,
s98,s1373,13,
s1060,s1022,4,
s2421,s2895,12,
s594,s1269,2,
s1068,s3451,7,
s2491,s1857,3,
s2711,s3717,15,
s1134,s1963,0,
s446,s3264,10,
s1593,s1101,7,
s3320,s2131,2,
s2025,s1576,12,
s1895,s3961,9,
s461,s1167,8,
s2792,s103,13,
s133,s2058,7,
s3271,s1679,9,
s3431,s3071,1,
s3822,s3444,15,
s3752,s3920,2,
s2017,s3805,7,
s3771,s3955,5,
s389,s3985,5,
s3977,s3000,10,
s2024,s2531,0,
s2445,s744,4,
s3225,s2214,7,
s3374,s2909,11,
s44,s2337,9,
s2255,s3829,2,
s234,s1325,10,
s26,s1236,11,
s1865,s1447,1,
s2062,s1590,6,
s2213,s381,8,
s843,s3531,13,
s437,s3985,11,
s1908,s3321,12,
s1571,s171,3,
s2313,s3845,9,
s2253,s3320,7,
s1199,s81,5,
s1032,s3922,10,
s2978,s2429,7,
s835,s3563,5,
s1655,s1981,2,
s2785,s3545,16,
s1370,s1214,12,
s3790,s643,12,
s2613,s1308,1,
s3585,s3900,5,
s1703,s1572,13,
s981,s2845,1,
s3719,s1336,13,
s2753,s3724,3,
s3011,s1530,0,
s129,s3371,15,
s1160,s52,16,
s2683,s3512,11,
s1858,s1112,1,
s1159,s459,1,
s2421,s1755,4,
s1483,s2166,0,
s3115,s3360,15,
s2743,s2209,1,
s2771,s1262,6,
s3018,s162,16,
s1356,s2812,4,
s588,s1927,11,
s2037,s1074,9,
s3023,s3885,2,
s173,s1182,1,
s1529,s1482,3,
s2850,s284,2,
s2027,s1594,0,
s653,s669,8,
s3124,s3992,10,
s924,s1218,7,
s3177,s1323,14,
s3379,s3760,11,
s2409,s1373,4,
s163,s1607,3,
s1191,s3777,5,
s517,s2737,8,
