from,to,weight,type
s265,s5,3,
s118,s342,19,
s114,s45,5,
s259,s286,18,
s223,s106,6,
s56,s277,20,
s239,s31,10,
s229,s198,16,
s350,s310,13,
s87,s271,3,
s6,s310,0,
s339,s336,14,
s218,s155,0,
s194,s377,17,
s101,s13,9,
s380,s99,7,
s310,s178,16,
s181,s214,1,
s392,s388,7,
s8,s90,13,
s375,s106,8,
s112,s44,20,
s363,s199,12,
s90,s304,11,
s61,s196,8,
s261,s240,6,
s38,s113,7,
s153,s365,16,
s244,s16,20,
s362,s149,20,
s378,s331,14,
s164,s230,15,
s32,s158,20,
s387,s391,13,
s1,s339,19,
s121,s332,5,
s47,s60,18,
s211,s366,2,
s361,s355,8,
s362,s20,10,
s352,s352,11,
s7,s309,18,
s9,s152,18,
s68,s220,18,
s185,s298,4,
s391,s290,19,
s325,s3,4,
s3,s293,8,
s77,s209,12,
s259,s184,10,
s261,s359,7,
s126,s357,18,
s372,s303,6,
s30,s239,5,
s251,s216,17,
s52,s12,13,
s300,s50,20,
s113,s188,3,
s361,s84,10,
s377,s47,14,
s261,s57,17,
s135,s309,3,
s185,s393,15,
s104,s346,2,
s131,s369,8,
s344,s197,18,
s318,s27,10,
s126,s166,7,
s339,s338,14,
s12,s197,3,
s65,s136,4,
s40,s242,1,
s232,s114,6,
s230,s115,20,
s383,s242,4,
s241,s167,6,
s263,s125,16,
s131,s83,15,
s326,s64,14,
s323,s188,1,
s390,s166,1,
s374,s252,20,
s262,s42,20,
s208,s193,0,
s363,s310,20,
s313,s261,16,
s141,s328,1,
s69,s384,16,
s104,s215,18,
s394,s326,15,
s164,s62,18,
s339,s53,14,
s268,s324,15,
s167,s355,16,
s13,s317,8,
s387,s183,20,
s237,s216,6,
s160,s26,3,
s327,s97,12,
s348,s151,18,
s9,s329,17,
s48,s358,3,
s289,s74,14,
s43,s270,18,
s307,s280,7,
s383,s179,15,
s210,s162,15,
s87,s124,8,
s2,s319,5,
s255,s25,2,
s338,s34,0,
s87,s19,14,
s332,s207,17,
s313,s350,5,
s345,s169,19,
s170,s75,4,
s122,s107,10,
s108,s251,9,
s46,s211,2,
s234,s279,17,
s221,s189,17,
s42,s152,1,
s227,s362,0,
s117,s317,7,
s310,s173,15,
s135,s123,15,
s164,s260,19,
s32,s107,19,
s378,s321,18,
s183,s83,20,
s215,s368,15,
s97,s301,11,
s396,s28,5,
s138,s348,1,
s134,s198,8,
s368,s147,6,
s316,s334,16,
