from,to,weight
1001,9304045,4
1001,9308122,1
1001,9309097,3
1001,9311042,3
1001,9401139,4
1001,9404151,4
1001,9407087,4
1001,9408099,3
1001,9501030,1
1001,9503124,3
1001,9504090,1
1001,9504145,1
1001,9505025,4
1001,9505054,4
1001,9505105,3
1001,9505162,2
1001,9506048,2
1001,9506112,1
1001,9506144,2
1001,9507050,2
1001,9507158,2
1001,9508094,1
1001,9508155,3
1001,9510142,3
1001,9510225,2
1001,9510234,4
1001,9511030,4
1001,9511171,3
1001,9601108,4
1001,9602022,2
1001,9602114,1
1001,9603003,4
1001,9603150,4
1001,9603161,4
1001,9603167,4
1001,9605184,2
1001,9605222,3
1001,9606017,3
1001,9606040,4
1001,9607163,2
1001,9607207,1
1001,9608086,2
1001,9609070,3
1001,9609071,1
1001,9609239,2
1001,9611137,1
1001,9612108,2
1001,9701162,2
1001,9702094,3
1001,9702155,4
1001,9702198,4
1001,9703082,1
1001,9703166,1
1001,9704097,2
1001,9705030,1
1001,9705044,2
1001,9705104,1
1001,9705220,4
1001,9706005,4
1001,9707014,4
1001,9707042,1
1001,9707049,2
1001,9710230,3
1001,9711036,2
1001,9711104,4
1001,9712028,3
1001,9712042,4
1001,9802194,1
1001,9805056,2
1001,9805206,4
1001,9806094,1
1001,9810188,4
1001,9811217,2
1001,9905036,1
1001,9907041,2
1001,9908007,4
1001,9908144,2
1001,9909108,3
1001,9909120,4
1001,9909229,3
1001,9910238,3
1001,9910248,3
1001,9910268,3
9401139,9302126,2
9404151,9309140,2
9407087,9401139,4
9408099,9407087,1
9501030,9407087,2
9501030,9408074,2
9501030,9408083,3
9501030,9408099,4
9501030,9410167,3
9501030,9412184,2
9503124,9401139,3
9503124,9407087,4
9503124,9408083,3
9503124,9411149,2
9503124,9501030,1
9504090,9309097,4
9504090,9407087,4
9504145,9309097,2
9505025,9309097,1
9505025,9404151,3
9505025,9410167,2
9505025,9501030,3
9505025,9501068,4
9505025,9502072,4
9505025,9503124,4
9505025,9504027,2
9505025,9504090,4
9505054,9410167,2
9505054,9411149,3
9505054,9503124,2
9505054,9503179,1
9505054,9504027,4
9505105,9308083,1
9505105,9308122,2
9505105,9407087,2
9505105,9408099,3
9505105,9410167,4
9505105,9411048,3
9505105,9411057,3
9505105,9503124,3
9505105,9503163,4
9505105,9504027,1
9505105,9504090,4
9505105,9504145,3
9505105,9505062,2
9505162,9302103,2
9505162,9309140,3
9505162,9404151,4
9505162,9406032,1
9505162,9407087,3
9505162,9408099,1
9505162,9409188,1
9505162,9410167,4
9505162,9411048,1
9505162,9501030,1
9505162,9501068,3
9505162,9502072,2
9505162,9503124,3
9505162,9504027,3
9505162,9504090,2
9505162,9504145,1
9505162,9505105,4
9506048,9410167,3
9506048,9501030,4
9506048,9503124,3
9506048,9505054,1
9506048,9505162,2
9506112,9308083,1
9506112,9308122,3
9506112,9406055,1
9506112,9407087,3
9506112,9408099,2
9506112,9411048,4
9506112,9502072,4
9506112,9504090,2
9506112,9505105,4
9506112,9505162,2
9506144,9407087,3
9506144,9408099,4
9506144,9411048,4
9506144,9501030,3
9506144,9501068,1
9506144,9502072,1
